"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"18435","2021",8,"PUESTO DE CONTROL- CEBAF","ROSA, flores frescas cortadas",6644,"CAJA(S)","ECUADOR"
"18436","2021",8,"PUESTO DE CONTROL- CEBAF","CLAVEL, flores frescas cortadas",690,"CAJA(S)","ECUADOR"
"18437","2021",8,"PUESTO DE CONTROL- CEBAF","LILIUM (=AZUCENA), flores frescas cortadas",112,"CAJA(S)","ECUADOR"
"18438","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALMENDRA, sin cáscara secado al natural",16329.33,"CAJA(S)","EEUU"
"18439","2021",8,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23436.8,"CAJA(S)","CHILE"
"18440","2021",8,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","UVA (PASAS), secas industrialmente",20,"CAJA(S)","ARGENTINA"
"18441","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, monturas y mangos de herramientas, monturas y mangos de cepillos, brochas o escobas, de madera; hormas, ensanchadores y tensores del calzado, de madera ; con algún proceso de la CRF 2",27830,"UNIDADES","CHINA"
"18442","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","BROCOLI, semilla",50,"LATAS","ITALIA"
"18443","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COL, semilla",25,"LATAS","ITALIA"
"18444","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LECHUGA, semilla",57.5,"LATAS","ITALIA"
"18445","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","RABANITO, semilla",50,"LATAS","ITALIA"
"18446","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19012,"CAJA(S)","EEUU"
"18447","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con tratamiento de secado al horno impregnación de sales",45098,"PAQUETES","CHILE"
"18448","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115473,"SACO(S)","BOLIVIA"
"18449","2021",8,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"18450","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",119000,"SACO(S)","BOLIVIA"
"18451","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",145500,"SACO(S)","BOLIVIA"
"18452","2021",8,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ARVEJA, secado natural",0.75,"SACHETS","ALEMANIA"
"18453","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","GARBANZO, grano",47350,"SACO(S)","MEXICO"
"18454","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",132450,"SACO(S)","COLOMBIA"
"18455","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano aplastado o en copos (hojuelas)",26000,"SACO(S)","CHILE"
"18456","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, paletas con algún proceso de la CRF 2",33024.744,"PALETAS","CHILE"
"18457","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",82354,"SACO(S)","BOLIVIA"
"18458","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",175949,"SACO(S)","CANADA"
"18459","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"18460","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",57150,"GRANEL","BOLIVIA"
"18461","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56386,"SACO(S)","BOLIVIA"
"18462","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",174000,"SACO(S)","BOLIVIA"
"18463","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",174000,"SACO(S)","BOLIVIA"
"18464","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115000,"SACO(S)","BOLIVIA"
"18465","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115000,"SACO(S)","BOLIVIA"
"18466","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115000,"SACO(S)","BOLIVIA"
"18467","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115000,"SACO(S)","BOLIVIA"
"18468","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",114500,"SACO(S)","BOLIVIA"
"18469","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",114000,"SACO(S)","BOLIVIA"
"18470","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115000,"SACO(S)","BOLIVIA"
"18471","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115000,"SACO(S)","BOLIVIA"
"18472","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",113500,"SACO(S)","BOLIVIA"
"18473","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",174000,"SACO(S)","BOLIVIA"
"18474","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",142000,"SACO(S)","BOLIVIA"
"18475","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",143000,"SACO(S)","BOLIVIA"
"18476","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",112000,"SACO(S)","BOLIVIA"
"18477","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56170,"GRANEL","BOLIVIA"
"18478","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",56000,"GRANEL","BOLIVIA"
"18479","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",112000,"GRANEL","BOLIVIA"
"18480","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",81200,"GRANEL","BOLIVIA"
"18481","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
"18482","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","GIRASOL, torta",103820,"GRANEL","BOLIVIA"
"18483","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",57720,"GRANEL","BOLIVIA"
"18484","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",56500,"GRANEL","BOLIVIA"
"18485","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",23814,"CAJA(S)","ARGENTINA"
"18486","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano aplastado o en copos (hojuelas)",52500,"SACO(S)","CHILE"
"18487","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",174000,"SACO(S)","BOLIVIA"
"18488","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","YUTE, sacos",16650,"SACOS DE YUTE","BANGLADESH"
"18489","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MOSTAZA, grano",39500,"BOLSAS","EEUU"
"18490","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",114470,"PAQUETES","CHILE"
"18491","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, fécula",199975,"SACO(S)","ALEMANIA"
"18492","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ REVENTON, grano",41600,"SACO(S)","EEUU"
"18493","2021",8,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21000,"CAJA(S)","CHILE"
"18494","2021",8,"SANTA ROSA, TACNA","PERA, fruta fresca",4032,"CAJA(S)","CHILE"
"18495","2021",8,"SANTA ROSA, TACNA","PERA, fruta fresca",2016,"CAJA(S)","CHILE"
"18496","2021",8,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21560,"CAJA(S)","CHILE"
"18497","2021",8,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"18498","2021",8,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"18499","2021",8,"SANTA ROSA, TACNA","PERA, fruta fresca",23184,"CAJA(S)","CHILE"
"18500","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",87000,"SACO(S)","BOLIVIA"
"18501","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",6200,"CAJA(S)","SRI LANKA"
"18502","2021",8,"SANTA ROSA, TACNA","MANZANA, fruto fresco",15680,"CAJA(S)","CHILE"
"18503","2021",8,"SANTA ROSA, TACNA","KIWI, fruto fresco",5040,"CAJA(S)","CHILE"
"18504","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",112000,"GRANEL","BOLIVIA"
"18505","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>28.57 mm = o <34.92 mm)",374760,"FARDOS","EEUU"
"18506","2021",8,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MAIZ, semilla",60.181,"SOBRES","FRANCIA"
"18507","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",52000,"BOLSAS","COLOMBIA"
"18508","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"GRANEL","BOLIVIA"
"18509","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
