"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"11851","2021",5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",19.752,"SACHETS","FRANCIA"
"11852","2021",5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","COLIFLOR, semilla",1.275,"SACHETS","FRANCIA"
"11853","2021",5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.268,"SACHETS","FRANCIA"
"11854","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"SACO(S)","BOLIVIA"
"11855","2021",5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","AJONJOLI, grano",6000,"SACO(S)","MEXICO"
"11856","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"11857","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, encofrados para hormigon, de madera con algún proceso de la CRF2
",97778,"PIEZAS","ALEMANIA"
"11858","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56606,"SACO(S)","BOLIVIA"
"11859","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",20900,"FARDOS","CANADA"
"11860","2021",5,"SANTA ROSA, TACNA","UVA, fruta fresca",16656,"CAJA(S)","CHILE"
"11861","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","UVA (PASAS), secas industrialmente",7200,"CAJA(S)","CHILE"
"11862","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CIRUELA, seca industrialmente",5500,"CAJA(S)","CHILE"
"11863","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","NUEZ, sin cáscara seca al natural",4100,"CAJA(S)","CHILE"
"11864","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ AMARILLO DURO, grano",32821950,"GRANEL","ARGENTINA"
"11865","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19756.8,"CAJA(S)","CHILE"
"11866","2021",5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.134,"SACHETS","HOLANDA"
"11867","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","BAMBU, caña (blanqueada, teñida o secada al horno)",3390,"UNIDADES","HOLANDA"
"11868","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",113000,"SACO(S)","BOLIVIA"
"11869","2021",5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","BROCOLI, semilla",149.08,"SOBRES ALUMINIZADOS","BRASIL"
"11870","2021",5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","BETARRAGA, semilla",44.068,"SOBRES ALUMINIZADOS","BRASIL"
"11871","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55860,"GRANEL","BOLIVIA"
"11872","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"11873","2021",5,"SANTA ROSA, TACNA","PERA, fruta fresca",21870,"CAJA(S)","CHILE"
"11874","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23363.2,"CAJA(S)","CHILE"
"11875","2021",5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",137500,"GRANEL","BOLIVIA"
"11876","2021",5,"SANTA ROSA, TACNA","MANZANA, fruto fresco",17640,"CAJA(S)","CHILE"
"11877","2021",5,"SANTA ROSA, TACNA","KIWI, fruto fresco",2016,"CAJA(S)","CHILE"
"11878","2021",5,"SANTA ROSA, TACNA","PERA, fruta fresca",4032,"CAJA(S)","CHILE"
"11879","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>34.92 mm)",39703,"FARDOS","EEUU"
"11880","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>34.92 mm)",19770,"FARDOS","EEUU"
"11881","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALBARICOQUE (=DAMASCO), seco industrial",121,"CAJA(S)","ESPAÑA"
"11882","2021",5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","GOJI, fruta seca industrial",78,"CAJA(S)","ESPAÑA"
