"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"19913","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56500,"GRANEL","BOLIVIA"
"19914","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"GRANEL","BOLIVIA"
"19915","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",86000,"GRANEL","BOLIVIA"
"19916","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85500,"GRANEL","BOLIVIA"
"19917","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",112000,"GRANEL","BOLIVIA"
"19918","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",114450,"GRANEL","BOLIVIA"
"19919","2021",9,"SANTA ROSA, TACNA","UÑA DE GATO, corteza trozada",3300,"SACO(S)","PERU"
"19920","2021",9,"SANTA ROSA, TACNA","CHANCAPIEDRA, hojas y tallos secos al natural",1000,"SACO(S)","PERU"
"19921","2021",9,"SANTA ROSA, TACNA","HERCAMPURI, hoja seca al natural",1500,"SACO(S)","PERU"
"19922","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",32002210,"GRANEL","ARGENTINA"
"19923","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALIMENTO PARA ANIMALES, mezcla de granos molidos o pulverizados, sin ningún aditivo",249,"UNIDADES","CHINA"
"19924","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"19925","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, fécula",63000,"BOLSAS","POLONIA"
"19926","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",17.412,"SACHETS","EEUU"
"19927","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",4.365,"SACHETS","EEUU"
"19928","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",3465000,"GRANEL","ARGENTINA"
"19929","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55000,"GRANEL","BOLIVIA"
"19930","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",112010,"GRANEL","BOLIVIA"
"19931","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LILIUM (=AZUCENA), bulbo",19950,"JABAS","HOLANDA"
"19932","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85539,"SACO(S)","BOLIVIA"
"19933","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",49624,"SACO(S)","CANADA"
"19934","2021",9,"SANTA ROSA, TACNA","PINO, madera aserrada, con tratamiento de secado al horno o impregnación de sales",50069,"PALETAS","URUGUAY"
"19935","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, hojas ahumadas",40390,"PALETAS","GUATEMALA"
"19936","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRACTOR AGRICOLA USADO, con motor de potencia superior a 130KW",13600,"UNIDADES","HOLANDA"
"19937","2021",9,"PUERTO DE SALAVERRY, LA LIBERTAD","MAIZ AMARILLO DURO, grano",25876000,"GRANEL","ARGENTINA"
"19938","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",19437,"FARDOS","ESTONIA"
"19939","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",12500,"SACO(S)","BOLIVIA"
